OBJECTID,Feature Type,Feature Subtype,Feature Name,Administrative Unit Code,Administrative State,DESCRIPTION,WEB_LINK,PHOTO_TEXT,UNIT_NAME,SOURCE,WEB_DISPLAY,PHOTO_LINK,PHOTO_THUMB,GlobalID,Original_GlobalID,Latitude,Longitude,x,y
89505,3,Campsite - Developed - Non Reservable - No Fee,Hawkins Reservoir Campground,IDI02000,ID,,,,,,YES,,,bc798957-c4cb-445d-8fb5-eb911bc73ccc,{83D83ADD-5E22-4B7C-B38B-5D8EA04ED5B0},42.51150753,-112.33096572,-112.330965719,42.5115075300001
89506,3,Campsite - Developed - Non Reservable - Fee,Maple Grove Campground,IDI02000,ID,,,,,,YES,,,4a60c815-d743-43d1-930e-602b88161611,{659279A8-B185-4158-A0D8-9E99A8CD5821},42.28444304,-111.73222554,-111.732225538,42.2844430390001
89507,2,Boat Launch,Harpers Bend Recreation Site,IDC02000,ID,,,,,,YES,,,5ab50fc4-b4cf-4856-919b-bf864fbb365f,{1EE68FBF-5D7A-45CE-A583-4B5CB9CCE5D1},46.49132242,-116.45013649,-116.450136495,46.4913224160001
89508,3,Campsite - Developed - Non Reservable - No Fee,Wolf Flats Recreation Area,IDI01000,ID,,,,,,YES,,,b948c4db-6229-4552-b544-72c5fd1f459f,{F8F1DAD8-84BC-423D-9080-02E1B705C340},43.59893671,-111.61093035,-111.610930354,43.5989367080001
89509,8,Parking Area,Crystal Ice Caves Parking Area,IDT03100,ID,,,,,,YES,,,1617ca1c-2a8b-4e99-8644-bf5c62e41266,{A7738B6B-D64A-42A1-9507-EA01FF63A493},42.9513,-113.21525,-113.21525,42.951300001
89510,4,Point of Interest,Kuna Cave Recreation Site,IDB01000,ID,,,,,,YES,,,1fb9c011-18a6-46e9-8827-216febf28fb0,{AA062EC3-7292-4F82-8B84-5A231489E279},43.41215,-116.44975,-116.44975,43.4121500000001
89511,3,Campsite - Primitive - Non Reservable - No Fee,Crater Peak,IDC01000,ID,,,,,,YES,,,f5e05a82-b0f9-455a-ae56-3217a508a2eb,{092D5783-F45F-43A7-AAAA-482AC0E8819B},47.02730351,-115.984017,-115.984017003,47.027303513
89512,4,Point of Interest,Bear Den Butte,IDT03100,ID,This butte is located within the Bear Den Butte Wilderness Study Area and provides fantastic views  of exposed lava flows around it.  A great hiking opportunity since area is closed to motorized vehicles.,,Bear Den Butte,Craters of the Moon National Monument,,YES,https://c1.staticflickr.com/9/8840/18464851420_1795fbec5d_k.jpg,https://c1.staticflickr.com/1/523/18626228406_67f7ff217b_m.jpg,9b6f6089-cf37-4fbe-b332-7da8d77a5d21,{C8EBDE8B-D72F-43E6-8934-61F988B59466},43.17792046,-113.51015799,-113.510157988,43.177920462
89514,4,Interpretive Site,Whiskey Springs Cabin,IDI03000,ID,,,,,,YES,,,3b20b123-152d-4b04-9c52-5fc887e004f8,{48274BDC-EF37-4518-B9F9-E6230D565944},44.09189543,-113.84747662,-113.847476616,44.091895433
89515,9,Airplane Landing Strip,Laidlaw Corrals Landing Strip,IDT03100,ID,Back country landing strip.,,,Craters of the Moon National Monument,,YES,,,a4f0a8ba-5238-4594-ae2e-5fc08054f314,{834F9385-0F8D-4F9F-A929-93F1F02E3A5B},43.03700716,-113.73332214,-113.733322142,43.0370071560001
